Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1950","1950","1000 persons","53974.729","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1951","1951","1000 persons","55606.419","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1952","1952","1000 persons","57283.658","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1953","1953","1000 persons","58999.277","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1954","1954","1000 persons","60749.5","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1955","1955","1000 persons","62533.919","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1956","1956","1000 persons","64355.722","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1957","1957","1000 persons","66221.466","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1958","1958","1000 persons","68140.425","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1959","1959","1000 persons","70123.377","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1960","1960","1000 persons","72179.226","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1961","1961","1000 persons","74311.343","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1962","1962","1000 persons","76514.328","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1963","1963","1000 persons","78772.657","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1964","1964","1000 persons","81064.571","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1965","1965","1000 persons","83373.53","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1966","1966","1000 persons","85696.505","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1967","1967","1000 persons","88035.814","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1968","1968","1000 persons","90387.079","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1969","1969","1000 persons","92746.614","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1970","1970","1000 persons","95113.265","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1971","1971","1000 persons","97482.92","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1972","1972","1000 persons","99859.383","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1973","1973","1000 persons","102259.497","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1974","1974","1000 persons","104706.198","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1975","1975","1000 persons","107216.205","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1976","1976","1000 persons","109790.938","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1977","1977","1000 persons","112425.392","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1978","1978","1000 persons","115121.153","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1979","1979","1000 persons","117878.411","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1980","1980","1000 persons","120694.009","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1981","1981","1000 persons","123570.327","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1982","1982","1000 persons","126498.314","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1983","1983","1000 persons","129448.819","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1984","1984","1000 persons","132383.568","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1985","1985","1000 persons","135274.08","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1986","1986","1000 persons","138108.912","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1987","1987","1000 persons","140891.602","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1988","1988","1000 persons","143627.503","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1989","1989","1000 persons","146328.304","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1990","1990","1000 persons","149003.223","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1991","1991","1000 persons","151648.011","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1992","1992","1000 persons","154259.38","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1993","1993","1000 persons","156849.078","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1994","1994","1000 persons","159432.716","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1995","1995","1000 persons","162019.896","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1996","1996","1000 persons","164614.688","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1997","1997","1000 persons","167209.04","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1998","1998","1000 persons","169785.25","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1999","1999","1000 persons","172318.675","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2000","2000","1000 persons","174790.34","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2001","2001","1000 persons","177196.054","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2002","2002","1000 persons","179537.52","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2003","2003","1000 persons","181809.246","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2004","2004","1000 persons","184006.481","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2005","2005","1000 persons","186127.103","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2006","2006","1000 persons","188167.356","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2007","2007","1000 persons","190130.443","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2008","2008","1000 persons","192030.362","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2009","2009","1000 persons","193886.508","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 persons","195713.635","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 persons","197514.536","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 persons","199287.299","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 persons","201035.912","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 persons","202763.739","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 persons","204471.769","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 persons","206163.053","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 persons","207833.823","X","International reliable sources",""
"OA","Annual population","21","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 persons","209469.323","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1950","1950","1000 persons","4432.714","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1951","1951","1000 persons","4537.675","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1952","1952","1000 persons","4656.424","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1953","1953","1000 persons","4783.195","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1954","1954","1000 persons","4913.741","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1955","1955","1000 persons","5045.288","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1956","1956","1000 persons","5176.642","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1957","1957","1000 persons","5308.126","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1958","1958","1000 persons","5441.323","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1959","1959","1000 persons","5578.688","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1960","1960","1000 persons","5722.37","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1961","1961","1000 persons","5872.966","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1962","1962","1000 persons","6028.431","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1963","1963","1000 persons","6183.584","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1964","1964","1000 persons","6331.449","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1965","1965","1000 persons","6467.197","X","International reliable sources","UNDESA, Population Division – World Population Prospects, the 2017 Revision"
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1966","1966","1000 persons","6585.035","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1967","1967","1000 persons","6685.96","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1968","1968","1000 persons","6779.787","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1969","1969","1000 persons","6880.623","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1970","1970","1000 persons","6996.576","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1971","1971","1000 persons","7139.647","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1972","1972","1000 persons","7302.111","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1973","1973","1000 persons","7449.238","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1974","1974","1000 persons","7533.336","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1975","1975","1000 persons","7524.447","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1976","1976","1000 persons","7404.684","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1977","1977","1000 persons","7196.042","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1978","1978","1000 persons","6957.265","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1979","1979","1000 persons","6770.396","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1980","1980","1000 persons","6693.764","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1981","1981","1000 persons","6749.847","X","International reliable sources",""
"OA","Annual population","115","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1982","1982","1000 persons","6919.801","X","International reliable sources",""
